observation_date,PCU2111112111113
1990/1/1,78.7
1990/2/1,79.3
1990/3/1,77.5
1990/4/1,75.5
1990/5/1,75.3
1990/6/1,72.9
1990/7/1,78
1990/8/1,69.8
1990/9/1,71.3
1990/10/1,70.6
1990/11/1,75.4
1990/12/1,81.8
1991/1/1,80.4
1991/2/1,77.3
1991/3/1,76.4
1991/4/1,73
1991/5/1,75.5
1991/6/1,73.7
1991/7/1,72.6
1991/8/1,73.2
1991/9/1,68.7
1991/10/1,69.7
1991/11/1,73.6
1991/12/1,77.7
1992/1/1,75.3
1992/2/1,74.3
1992/3/1,70.2
1992/4/1,69.5
1992/5/1,70.8
1992/6/1,69.5
1992/7/1,75.5
1992/8/1,74.4
1992/9/1,80.8
1992/10/1,77.9
1992/11/1,87.5
1992/12/1,83.6
1993/1/1,83.7
1993/2/1,75.1
1993/3/1,72.9
1993/4/1,74.2
1993/5/1,82.3
1993/6/1,88.6
1993/7/1,77.8
1993/8/1,76.5
1993/9/1,80.3
1993/10/1,83.9
1993/11/1,80.1
1993/12/1,80.3
1994/1/1,87.3
1994/2/1,78.3
1994/3/1,84.1
1994/4/1,81.5
1994/5/1,74.6
1994/6/1,73.9
1994/7/1,69.4
1994/8/1,72.3
1994/9/1,69.8
1994/10/1,65.3
1994/11/1,63.6
1994/12/1,69.1
1995/1/1,68.4
1995/2/1,62.9
1995/3/1,61.3
1995/4/1,62.3
1995/5/1,63.2
1995/6/1,64.8
1995/7/1,63.2
1995/8/1,56
1995/9/1,57.1
1995/10/1,59.7
1995/11/1,63
1995/12/1,68.9
1996/1/1,78.4
1996/2/1,90.7
1996/3/1,80.6
1996/4/1,87.2
1996/5/1,82.7
1996/6/1,74.1
1996/7/1,82
1996/8/1,82.9
1996/9/1,72
1996/10/1,70.7
1996/11/1,94.6
1996/12/1,132.2
1997/1/1,149.9
1997/2/1,112.6
1997/3/1,73.8
1997/4/1,71
1997/5/1,78.6
1997/6/1,83.4
1997/7/1,80.6
1997/8/1,81.8
1997/9/1,91
1997/10/1,108.8
1997/11/1,119.6
1997/12/1,95.3
1998/1/1,85.4
1998/2/1,76.9
1998/3/1,81.2
1998/4/1,84.7
1998/5/1,85
1998/6/1,76.9
1998/7/1,83.7
1998/8/1,77.1
1998/9/1,65.6
1998/10/1,72.9
1998/11/1,78.1
1998/12/1,78.3
1999/1/1,70.2
1999/2/1,67.6
1999/3/1,63
1999/4/1,69.5
1999/5/1,85.9
1999/6/1,83.6
1999/7/1,86.4
1999/8/1,98
1999/9/1,107.9
1999/10/1,97.8
1999/11/1,114.2
1999/12/1,84.6
2000/1/1,92.1
2000/2/1,98.4
2000/3/1,99.3
2000/4/1,107.8
2000/5/1,115.8
2000/6/1,159.9
2000/7/1,160.2
2000/8/1,142.7
2000/9/1,166.2
2000/10/1,189.5
2000/11/1,173.8
2000/12/1,247.4
2001/1/1,370.1
2001/2/1,246.5
2001/3/1,202.8
2001/4/1,207.3
2001/5/1,191.3
2001/6/1,144.2
2001/7/1,113.8
2001/8/1,113.6
2001/9/1,87.4
2001/10/1,68.5
2001/11/1,107.2
2001/12/1,85.1
2002/1/1,93.3
2002/2/1,74.1
2002/3/1,90.1
2002/4/1,123.4
2002/5/1,118
2002/6/1,110.6
2002/7/1,109.9
2002/8/1,106
2002/9/1,114.5
2002/10/1,127.7
2002/11/1,149.5
2002/12/1,151.8
2003/1/1,173.1
2003/2/1,203.2
2003/3/1,305.6
2003/4/1,183.8
2003/5/1,192.4
2003/6/1,210
2003/7/1,191
2003/8/1,171.9
2003/9/1,175.3
2003/10/1,160.8
2003/11/1,157.1
2003/12/1,175.2
2004/1/1,212.7
2004/2/1,202.4
2004/3/1,183.4
2004/4/1,192.6
2004/5/1,211.9
2004/6/1,237.4
2004/7/1,225.7
2004/8/1,217.7
2004/9/1,185.1
2004/10/1,200.1
2004/11/1,267.2
2004/12/1,260.3
2005/1/1,221.5
2005/2/1,223.7
2005/3/1,227.9
2005/4/1,265
2005/5/1,242.2
2005/6/1,229.1
2005/7/1,257.5
2005/8/1,280.3
2005/9/1,376.3
2005/10/1,451.6
2005/11/1,433
2005/12/1,372.8
2006/1/1,363.4
2006/2/1,284.6
2006/3/1,251.8
2006/4/1,249.6
2006/5/1,246.6
2006/6/1,215.1
2006/7/1,214.1
2006/8/1,253.3
2006/9/1,235.6
2006/10/1,162.1
2006/11/1,259.6
2006/12/1,279
2007/1/1,214.9
2007/2/1,263.2
2007/3/1,267.2
2007/4/1,262.4
2007/5/1,273.3
2007/6/1,278
2007/7/1,249.1
2007/8/1,220.3
2007/9/1,199.1
2007/10/1,229.9
2007/11/1,257.7
2007/12/1,260.6
2008/1/1,261.6
2008/2/1,296.2
2008/3/1,321.3
2008/4/1,342.3
2008/5/1,393.2
2008/6/1,412.6
2008/7/1,436.4
2008/8/1,319.9
2008/9/1,282.7
2008/10/1,243.4
2008/11/1,207.7
